Switch 2,Switch 1
<SwitchTrace  swid=2 qdepth=0 qtdelta=32 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=34 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=26 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=39 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=30 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=40 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=35 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=40 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=34 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=47 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=30 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=35 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=27 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=41 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=43 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=43 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=38 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=36 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=37 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=55 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=44 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=38 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=29 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=33 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=29 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=53 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=33 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=44 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=29 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=34 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=30 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=40 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=36 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=34 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=27 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=34 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=27 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=33 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=30 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=36 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=35 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=45 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=33 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=43 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=39 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=35 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=29 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=34 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=34 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=35 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=35 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=42 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=30 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=31 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=31 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=42 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=43 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=27 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=62 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=30 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=30 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=35 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=67 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=34 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=66 |>, <SwitchTrace  swid=1 qdepth=40 qtdelta=681632 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=32 |>, <SwitchTrace  swid=1 qdepth=22 qtdelta=855136 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=40 |>, <SwitchTrace  swid=1 qdepth=40 qtdelta=1143729 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=53 |>, <SwitchTrace  swid=1 qdepth=52 qtdelta=1162325 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=65 |>, <SwitchTrace  swid=1 qdepth=57 qtdelta=1825443 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=40 |>, <SwitchTrace  swid=1 qdepth=27 qtdelta=897997 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=60 |>, <SwitchTrace  swid=1 qdepth=39 qtdelta=1072936 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=63 |>, <SwitchTrace  swid=1 qdepth=15 qtdelta=1184623 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=22 |>, <SwitchTrace  swid=1 qdepth=1 qtdelta=261558 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=26 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=46 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=28 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=80 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=27 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=69 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=29 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=27 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=46 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=67 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=27 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=30 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=28 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=42 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=26 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=65 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=28 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=39 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=26 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=40 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=37 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=43 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=27 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=33 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=37 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=33 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=26 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=39 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=36 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=50 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=38 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=30 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=25 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=28 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=30 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=28 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=44 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=34 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=22 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=43 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=34 |>, <SwitchTrace  swid=1 qdepth=56 qtdelta=854320 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=24 |>, <SwitchTrace  swid=1 qdepth=41 qtdelta=1139943 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=34 |>, <SwitchTrace  swid=1 qdepth=53 qtdelta=1194908 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=38 |>, <SwitchTrace  swid=1 qdepth=63 qtdelta=1909562 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=28 |>, <SwitchTrace  swid=1 qdepth=31 qtdelta=908185 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=76 |>, <SwitchTrace  swid=1 qdepth=44 qtdelta=1094226 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=66 |>, <SwitchTrace  swid=1 qdepth=2 qtdelta=423132 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=29 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=62 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=30 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=42 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=24 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=78 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=28 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=77 |>] |>
